Year,Day ,Timestamp,Hours,location-long,location-lat,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2018,1/8/2001,2018-195-4,4,0.385088,36.9052,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/9/2001,2018-195-8,8,0.385085,36.905181,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/10/2001,2018-195-12,12,0.385914,36.90578,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/11/2001,2018-195-16,16,0.389091,36.910789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/12/2001,2018-195-20,20,0.387701,36.911399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/13/2001,2018-195-23,23,0.387711,36.911388,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/14/2001,2018-196-0,0,0.387693,36.911399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/15/2001,2018-196-4,4,0.387685,36.911376,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/16/2001,2018-196-8,8,0.387743,36.911415,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/17/2001,2018-196-12,12,0.3873,36.912151,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/18/2001,2018-196-16,16,0.386381,36.912826,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/19/2001,2018-196-20,20,0.386411,36.912838,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/20/2001,2018-196-23,23,0.386408,36.912788,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/21/2001,2018-197-0,0,0.386365,36.91283,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/22/2001,2018-197-4,4,0.386368,36.912849,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/23/2001,2018-197-8,8,0.38644,36.912857,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/24/2001,2018-197-12,12,0.386366,36.912826,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/25/2001,2018-197-16,16,0.386398,36.912933,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,1/26/2001,2018-197-20,20,0.38644,36.912845,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
