YEAR,DATE,HOUR,MINUTE,location-long,location-lat,SPECIES,TAG,individual-local-identifier
2018,14-Jul,8,0,0.275796,36.891124,Stigmochelys pardalis,4170,Io
2018,14-Jul,12,0,0.275858,36.891162,Stigmochelys pardalis,4170,Io
2018,14-Jul,16,0,0.27818,36.889415,Stigmochelys pardalis,4170,Io
2018,14-Jul,20,0,0.278196,36.889427,Stigmochelys pardalis,4170,Io
2018,14-Jul,23,0,0.278195,36.889408,Stigmochelys pardalis,4170,Io
2018,15-Jul,0,0,0.278196,36.889427,Stigmochelys pardalis,4170,Io
2018,15-Jul,4,0,0.278158,36.889404,Stigmochelys pardalis,4170,Io
2018,15-Jul,8,0,0.278208,36.889427,Stigmochelys pardalis,4170,Io
2018,15-Jul,12,0,0.278145,36.889358,Stigmochelys pardalis,4170,Io
2018,15-Jul,16,0,0.278311,36.889369,Stigmochelys pardalis,4170,Io
2018,15-Jul,20,0,0.278173,36.889434,Stigmochelys pardalis,4170,Io
2018,15-Jul,23,0,0.278171,36.889408,Stigmochelys pardalis,4170,Io
2018,16-Jul,0,0,0.278176,36.889434,Stigmochelys pardalis,4170,Io
2018,16-Jul,4,0,0.278145,36.889404,Stigmochelys pardalis,4170,Io
2018,16-Jul,8,0,0.278208,36.889415,Stigmochelys pardalis,4170,Io
2018,16-Jul,12,0,0.278111,36.889442,Stigmochelys pardalis,4170,Io
2018,16-Jul,16,0,0.27815,36.889408,Stigmochelys pardalis,4170,Io
2018,16-Jul,20,0,0.278153,36.889446,Stigmochelys pardalis,4170,Io
2018,16-Jul,23,0,0.278176,36.889415,Stigmochelys pardalis,4170,Io
2018,17-Jul,0,0,0.278178,36.889423,Stigmochelys pardalis,4170,Io
2018,17-Jul,4,0,0.278146,36.889415,Stigmochelys pardalis,4170,Io
2018,17-Jul,8,0,0.278188,36.889408,Stigmochelys pardalis,4170,Io
2018,17-Jul,12,0,0.278125,36.889446,Stigmochelys pardalis,4170,Io
2018,17-Jul,16,0,0.280958,36.891735,Stigmochelys pardalis,4170,Io
2018,17-Jul,20,0,0.280868,36.891563,Stigmochelys pardalis,4170,Io
2018,17-Jul,23,0,0.280851,36.891578,Stigmochelys pardalis,4170,Io
2018,18-Jul,0,0,0.280853,36.891578,Stigmochelys pardalis,4170,Io
2018,18-Jul,4,0,0.280839,36.891635,Stigmochelys pardalis,4170,Io
2018,18-Jul,8,0,0.280856,36.891563,Stigmochelys pardalis,4170,Io
2018,18-Jul,12,0,0.281446,36.890815,Stigmochelys pardalis,4170,Io
2018,18-Jul,16,0,0.282448,36.891105,Stigmochelys pardalis,4170,Io
2018,18-Jul,20,0,0.282458,36.891178,Stigmochelys pardalis,4170,Io
2018,18-Jul,23,0,0.28244,36.891132,Stigmochelys pardalis,4170,Io
2018,19-Jul,0,0,0.282468,36.89117,Stigmochelys pardalis,4170,Io
2018,19-Jul,4,0,0.282436,36.891159,Stigmochelys pardalis,4170,Io
2018,19-Jul,8,0,0.282425,36.891101,Stigmochelys pardalis,4170,Io
2018,19-Jul,12,0,0.283841,36.890941,Stigmochelys pardalis,4170,Io
2018,19-Jul,16,0,0.284863,36.889923,Stigmochelys pardalis,4170,Io
2018,19-Jul,20,0,0.28492,36.889957,Stigmochelys pardalis,4170,Io
2018,19-Jul,23,0,0.284883,36.889987,Stigmochelys pardalis,4170,Io
2018,20-Jul,0,0,0.284873,36.889999,Stigmochelys pardalis,4170,Io
2018,20-Jul,4,0,0.284888,36.890113,Stigmochelys pardalis,4170,Io
2018,20-Jul,8,0,0.284878,36.889919,Stigmochelys pardalis,4170,Io
2018,20-Jul,12,0,0.284825,36.890026,Stigmochelys pardalis,4170,Io
2018,20-Jul,16,0,0.288896,36.889614,Stigmochelys pardalis,4170,Io
2018,20-Jul,20,0,0.288885,36.889663,Stigmochelys pardalis,4170,Io
2018,20-Jul,23,0,0.288913,36.889625,Stigmochelys pardalis,4170,Io
2018,21-Jul,0,0,0.288903,36.889663,Stigmochelys pardalis,4170,Io
2018,21-Jul,4,0,0.288866,36.889663,Stigmochelys pardalis,4170,Io
2018,21-Jul,8,0,0.288858,36.889633,Stigmochelys pardalis,4170,Io
2018,21-Jul,12,0,0.288883,36.889732,Stigmochelys pardalis,4170,Io
2018,21-Jul,16,0,0.288936,36.889637,Stigmochelys pardalis,4170,Io
2018,21-Jul,20,0,0.288931,36.889713,Stigmochelys pardalis,4170,Io
2018,21-Jul,23,0,0.288876,36.88969,Stigmochelys pardalis,4170,Io
2018,22-Jul,0,0,0.288911,36.889709,Stigmochelys pardalis,4170,Io
2018,22-Jul,4,0,0.288911,36.88969,Stigmochelys pardalis,4170,Io
2018,22-Jul,8,0,0.28889,36.889644,Stigmochelys pardalis,4170,Io
2018,22-Jul,12,0,0.289115,36.88993,Stigmochelys pardalis,4170,Io
2018,22-Jul,16,0,0.288295,36.892131,Stigmochelys pardalis,4170,Io
2018,22-Jul,20,0,0.288308,36.892181,Stigmochelys pardalis,4170,Io
2018,22-Jul,23,0,0.288268,36.892169,Stigmochelys pardalis,4170,Io
2018,23-Jul,0,0,0.288301,36.892131,Stigmochelys pardalis,4170,Io
2018,23-Jul,4,0,0.288278,36.892124,Stigmochelys pardalis,4170,Io
